order_id,order_date,status,customer_id,customer_name,customer_phone,customer_email,city,district,delivery_type,delivery_cost,payment_method,payment_status,payment_amount,currency,total_amount,items_json
طلب-100000,04/09/2026,تم التوصيل,عميل-0,محمد علي,702390941,user141764@example.com,تعز,شعوب,سريع,5000.0,محفظة إلكترونية,تم الدفع,769000.0,YER,769000.0,"[{""sku"":""SKU-1010"",""name"":""هاتف سامسونج A54"",""qty"":-2,""unit_price"":183000.0,""total"":549000.0},{""sku"":""SKU-1010"",""name"":""هاتف سامسونج A54"",""qty"":1,""unit_price"":215000.0,""total"":215000.0}]"
طلب-100001,04/09/2026,تم التوصيل,عميل-1,علي حسين,714876334,user392083@example.com,لحج,القاهرة,عادي,2000.0,محفظة إلكترونية,بانتظار الدفع,546500.0,YER,546500.0,"[{""sku"":""SKU-1010"",""name"":""هاتف سامسونج A54"",""qty"":3,""unit_price"":181500.0,""total"":544500.0}]"
طلب-100002,04/09/2026,تم التوصيل,عميل-2,أروى محمد,717011292,user697610@example.com,حجة,جبلة,عادي,2000.0,محفظة إلكترونية,تم الدفع,32000.0,YER,32000.0,"[{""sku"":""SKU-1009"",""name"":""شاحن سريع"",""qty"":3,""unit_price"":10000.0,""total"":30000.0}]"
طلب-100003,04/09/2026,تم التوصيل,عميل-3,ريم عادل,739988747,user309803@example.com,عدن,القاهرة,عادي,2000.0,محفظة إلكترونية,تم الدفع,706000.0,YER,٧٠٦٠٠٠٫٠,"[{""sku"":""SKU-1010"",""name"":""هاتف سامسونج A54"",""qty"":2,""unit_price"":257000.0,""total"":514000.0},{""sku"":""SKU-1002"",""name"":""فأرة لاسلكية"",""qty"":1,""unit_price"":11000.0,""total"":11000.0},{""sku"":""SKU-1007"",""name"":""قرص SSD محمول"",""qty"":1,""unit_price"":179000.0,""total"":179000.0}]"
طلب-100004,04/09/2026,تم التوصيل,عميل-4,محمد علي,704925363,user178511@example.com,المكلا,جبلة,سريع,5000.0,بطاقة,تم الدفع,374000.0,YER,374000.0,"[{""sku"":""SKU-1010"",""name"":""هاتف سامسونج A54"",""qty"":2,""unit_price"":184500.0,""total"":369000.0}]"
NEW_DELTA_ORD_0,04/09/2026,جديد,عميل-0,محمد علي,702390941,user141764@example.com,تعز,شعوب,سريع,5000.0,محفظة إلكترونية,تم الدفع,769000.0,YER,769000.0,"[{""sku"":""SKU-1010"",""name"":""هاتف سامسونج A54"",""qty"":-2,""unit_price"":183000.0,""total"":549000.0},{""sku"":""SKU-1010"",""name"":""هاتف سامسونج A54"",""qty"":1,""unit_price"":215000.0,""total"":215000.0}]"
NEW_DELTA_ORD_1,04/09/2026,جديد,عميل-1,علي حسين,714876334,user392083@example.com,لحج,القاهرة,عادي,2000.0,محفظة إلكترونية,بانتظار الدفع,546500.0,YER,546500.0,"[{""sku"":""SKU-1010"",""name"":""هاتف سامسونج A54"",""qty"":3,""unit_price"":181500.0,""total"":544500.0}]"
NEW_DELTA_ORD_2,04/09/2026,جديد,عميل-2,أروى محمد,717011292,user697610@example.com,حجة,جبلة,عادي,2000.0,محفظة إلكترونية,تم الدفع,32000.0,YER,32000.0,"[{""sku"":""SKU-1009"",""name"":""شاحن سريع"",""qty"":3,""unit_price"":10000.0,""total"":30000.0}]"
NEW_DELTA_ORD_3,04/09/2026,جديد,عميل-3,ريم عادل,739988747,user309803@example.com,عدن,القاهرة,عادي,2000.0,محفظة إلكترونية,تم الدفع,706000.0,YER,٧٠٦٠٠٠٫٠,"[{""sku"":""SKU-1010"",""name"":""هاتف سامسونج A54"",""qty"":2,""unit_price"":257000.0,""total"":514000.0},{""sku"":""SKU-1002"",""name"":""فأرة لاسلكية"",""qty"":1,""unit_price"":11000.0,""total"":11000.0},{""sku"":""SKU-1007"",""name"":""قرص SSD محمول"",""qty"":1,""unit_price"":179000.0,""total"":179000.0}]"
NEW_DELTA_ORD_4,04/09/2026,جديد,عميل-4,محمد علي,704925363,user178511@example.com,المكلا,جبلة,سريع,5000.0,بطاقة,تم الدفع,374000.0,YER,374000.0,"[{""sku"":""SKU-1010"",""name"":""هاتف سامسونج A54"",""qty"":2,""unit_price"":184500.0,""total"":369000.0}]"
